id,titulo,poster,recuerdo,favorito,calificacion
70672,Hombres en Una Misión,/zak7mqMxJGnnWplSdbjDtV7bg2Y.jpg,,True,9
322055,검사실의 제안,/fxEfx2Tt98l4oW2KI0GU3Q0qgnB.jpg,,True,7
130931,SBS Inkigayo,/q2eR0Wso7i5ZrUJvnp1HDYqANlX.jpg,,True,9
